day,hour,minute,amps_avg,kw_avg,amps_min,amps_max,kw_min,kw_max,datetime
6,1,40,0.121333,27.906667,0.121333,0.121333,27.906667,27.906667,2013-12-06 01:40:00.000
6,1,41,0.102667,23.613333,0.102667,0.102667,23.613333,23.613333,2013-12-06 01:41:00.000
6,1,42,0.116667,26.833333,0.116667,0.116667,26.833333,26.833333,2013-12-06 01:42:00.000
6,1,43,0.144667,33.273333,0.144667,0.144667,33.273333,33.273333,2013-12-06 01:43:00.000
6,1,44,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 01:44:00.000
6,1,45,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 01:45:00.000
6,1,46,0.147,33.81,0.147,0.147,33.81,33.81,2013-12-06 01:46:00.000
6,1,47,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 01:47:00.000
6,1,48,0.060667,13.953333,0.060667,0.060667,13.953333,13.953333,2013-12-06 01:48:00.000
6,1,49,0.07,16.1,0.07,0.07,16.1,16.1,2013-12-06 01:49:00.000
6,1,50,0.100333,23.076667,0.100333,0.100333,23.076667,23.076667,2013-12-06 01:50:00.000
6,1,51,0.165667,38.103333,0.165667,0.165667,38.103333,38.103333,2013-12-06 01:51:00.000
6,1,52,0.197167,45.348333,0.197167,0.197167,45.348333,45.348333,2013-12-06 01:52:00.000
6,1,53,0.175,40.25,0.175,0.175,40.25,40.25,2013-12-06 01:53:00.000
6,1,54,0.1575,36.225,0.1575,0.1575,36.225,36.225,2013-12-06 01:54:00.000
6,1,55,0.163333,37.566667,0.163333,0.163333,37.566667,37.566667,2013-12-06 01:55:00.000
6,1,56,0.113167,26.028333,0.113167,0.113167,26.028333,26.028333,2013-12-06 01:56:00.000
6,1,57,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 01:57:00.000
6,1,58,0.134167,30.858333,0.134167,0.134167,30.858333,30.858333,2013-12-06 01:58:00.000
6,1,59,0.1225,28.175,0.1225,0.1225,28.175,28.175,2013-12-06 01:59:00.000
6,2,0,0.149333,34.346667,0.149333,0.149333,34.346667,34.346667,2013-12-06 02:00:00.000
6,2,1,0.1505,34.615,0.1505,0.1505,34.615,34.615,2013-12-06 02:01:00.000
6,2,2,0.131833,30.321667,0.131833,0.131833,30.321667,30.321667,2013-12-06 02:02:00.000
6,2,3,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 02:03:00.000
6,2,4,0.113167,26.028333,0.113167,0.113167,26.028333,26.028333,2013-12-06 02:04:00.000
6,2,5,0.126,28.98,0.126,0.126,28.98,28.98,2013-12-06 02:05:00.000
6,2,6,0.105,24.15,0.105,0.105,24.15,24.15,2013-12-06 02:06:00.000
6,2,7,0.096833,22.271667,0.096833,0.096833,22.271667,22.271667,2013-12-06 02:07:00.000
6,2,8,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 02:08:00.000
6,2,9,0.119,27.37,0.119,0.119,27.37,27.37,2013-12-06 02:09:00.000
6,2,10,0.147,33.81,0.147,0.147,33.81,33.81,2013-12-06 02:10:00.000
6,2,11,0.175,40.25,0.175,0.175,40.25,40.25,2013-12-06 02:11:00.000
6,2,12,0.165667,38.103333,0.165667,0.165667,38.103333,38.103333,2013-12-06 02:12:00.000
6,2,13,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 02:13:00.000
6,2,14,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 02:14:00.000
6,2,15,0.0945,21.735,0.0945,0.0945,21.735,21.735,2013-12-06 02:15:00.000
6,2,16,0.082833,19.051667,0.082833,0.082833,19.051667,19.051667,2013-12-06 02:16:00.000
6,2,17,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 02:17:00.000
6,2,18,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 02:18:00.000
6,2,19,0.137667,31.663333,0.137667,0.137667,31.663333,31.663333,2013-12-06 02:19:00.000
6,2,20,0.133,30.59,0.133,0.133,30.59,30.59,2013-12-06 02:20:00.000
6,2,21,0.114333,26.296667,0.114333,0.114333,26.296667,26.296667,2013-12-06 02:21:00.000
6,2,22,0.126,28.98,0.126,0.126,28.98,28.98,2013-12-06 02:22:00.000
6,2,23,0.1435,33.005,0.1435,0.1435,33.005,33.005,2013-12-06 02:23:00.000
6,2,24,0.116667,26.833333,0.116667,0.116667,26.833333,26.833333,2013-12-06 02:24:00.000
6,2,25,0.106167,24.418333,0.106167,0.106167,24.418333,24.418333,2013-12-06 02:25:00.000
6,2,26,0.1225,28.175,0.1225,0.1225,28.175,28.175,2013-12-06 02:26:00.000
6,2,27,0.116667,26.833333,0.116667,0.116667,26.833333,26.833333,2013-12-06 02:27:00.000
6,2,28,0.155167,35.688333,0.155167,0.155167,35.688333,35.688333,2013-12-06 02:28:00.000
6,2,29,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 02:29:00.000
